Date,Max Temp,Min Temp,Avg Temp,Precipitation Water Equiv,Snowfall,Snow/Ice Depth
2013-01-01,40,26.0,33.0,0.0,0.0,0.0
2013-01-02,33,22.0,27.5,0.0,0.0,0.0
2013-01-03,32,24.0,28.0,0.0,0.0,0.0
2013-01-04,37,30.0,33.5,0.0,0.0,0.0
2013-01-05,42,32.0,37.0,0.0,0.0,0.0
2013-01-06,46,34.0,40.0,0.0001,0.001,0.0
2013-01-07,45,37.0,41.0,0.0,0.0,0.0
2013-01-08,48,35.0,41.5,0.0,0.0,0.0
2013-01-09,49,39.0,44.0,0.0,0.0,0.0
2013-01-10,47,40.0,43.5,0.0,0.0,0.0
2013-01-11,46,37.0,41.5,0.55,0.0,0.0
2013-01-12,47,42.0,44.5,0.02,0.0,0.0
2013-01-13,50,43.0,46.5,0.0,0.0,0.0
2013-01-14,56,38.0,47.0,0.09,0.0,0.0
2013-01-15,38,35.0,36.5,0.12,0.0,0.0
2013-01-16,37,32.0,34.5,0.69,0.001,0.0
2013-01-17,43,35.0,39.0,0.0,0.0,0.0
2013-01-18,35,25.0,30.0,0.0,0.0,0.0
2013-01-19,51,30.0,40.5,0.0,0.0,0.0
2013-01-20,53,30.0,41.5,0.0,0.0,0.0
2013-01-21,32,26.0,29.0,0.0,0.0,0.0
2013-01-22,27,13.0,20.0,0.0001,0.001,0.0
2013-01-23,20,11.0,15.5,0.0,0.0,0.0
2013-01-24,22,12.0,17.0,0.0,0.0,0.0
2013-01-25,24,13.0,18.5,0.07,1.5,0.0
2013-01-26,27,15.0,21.0,0.0,0.0,2.0
2013-01-27,34,19.0,26.5,0.0,0.0,1.0
2013-01-28,36,29.0,32.5,0.22,0.001,1.0
2013-01-29,49,36.0,42.5,0.06,0.0,0.0
2013-01-30,59,39.0,49.0,0.04,0.0,0.0
2013-01-31,61,30.0,45.5,0.9,0.0,0.0
2013-02-01,31,24.0,27.5,0.0,0.0,0.0
2013-02-02,29,19.0,24.0,0.02,0.1,0.0
2013-02-03,30,24.0,27.0,0.02,0.3,0.01
2013-02-04,30,23.0,26.5,0.0,0.0,0.0
2013-02-05,32,28.0,30.0,0.02,0.4,0.01
2013-02-06,39,29.0,34.0,0.0,0.0,0.0
2013-02-07,32,26.0,29.0,0.0,0.0,0.0
2013-02-08,34,27.0,30.5,1.15,6.3,0.0
2013-02-09,32,21.0,26.5,0.38,5.1,0.0
